149;O čemu razmišlja moj pas?; Gwen Bailey;36
206;Tko se skrio u vodi?; Ana Martin-Larranaga;126
232;Savršen špijun; John Le Carré;24
20;Hrana; Martyn Bramwell;121
53;Temeljne edukacijske znanosti i metodike nastave; Ante Bežen (ur.);121
124;Naša živa zemlja; Eduardo Banqueri;140
170;Kako nacrtati osjećaj?; Mirjana Tomašević Dančević;151
160;Teen psiha; Dubravka Miljković i Majda Rijavac;32
3;Mitovi i legende; Philip Wilkinson;126
73;Matematika i muzika; Zvonimir Šikić i Zoran Ščekić;140
205;Kolači; Carla Bardi;152
8;Kako je to bilo; Maryann Burk Carver;84
208;Obična pisma neobičnim ljudima - meki uvez; Nenad Ivanković;14
1;Geografski atlas Azije; Denis Šehić;121
77;Nestašni mladunci; Sarah Pitt;11
126;Upoznaj Europsku Uniju;  Skupina autora;153
256;Život na Zemlji; Eduardo Banqueri;159
132;Balerine - odjeni ih naljepnicama - meki uvez; Leonie Pratt;14
135;Skakutava maca -   tvrdi uvez; J.Child;176
83;Zaljubljivanja; Javier Marias;51
64;Zauvijek sretni - kiosk; Nora Roberts;25
11;Tko se skrio na farmi?; ana Martin-Larranaga;86
153;Mjesto zvano ovdje - meki uvez; Cecelia Ahern;171
211;Putovanje u beskraj; Serge Brunier;54
6;Ocjenjivanje;  Skupina autora;73
68;Organski dom; Rosamond Richardson;11
162;Tragovima odiseja - meki uvez; Jasen Boko;24
142;Ruska avangarda 2; Aleksandar Flaker;134
143;Kako postati sretan - meku uvez; Rima Rudner;49
230;Što je s mojim psom?; Bruce Fogle;107
2;80 kreativnih likovnih radionica; Sylvia Dorance;42
246;Knjigocid - uništavanje knjiga u hrvatskoj 1990-tih; Ante Lešaja;17
49;Priručnik za pravilno pisanje; Mijo Lončarić;117
200;Tolkienov svijet; Gareth Hanrahan i Peter Mckinstry;39
229;Švrljastično; Tim Bugbird;66
157;Bolji brak - kiosk; dr.sc.Joshua Coleman;131
203;Juhe; Carla Bardi;60
250;Naučite dijete spavati; Nevena Lovrinčević;99
167;Ženski mozak; Louann Brizendine;96
212;Fantastična bića; Jim Pipe;66
10;Kako odgojiti štene - meki uvez; Caroline Davis;175
125;Kako odgojiti sretnu bebu; Carol Valinejad;91
238;Što su osjećaji?; Oscar Brenifier;83
251;Posljednje pismo tvojega ljubavnika - kiosk (platinasta kolekcija); Jojo Moyes;117
29;Velika knjiga o vinu; Joanna Simon;121
93;Veliki gospodar - Sulejman Veličanstveni; Louis Gardel;148
223;Fališ mi - 2.dio tvrdi uvez; Mani Gotovac;19
90;100 jednostavnih tajni zdravih ljudi - kiosk; David Niven;146
108;Mudrost-povijest slobodnog zidarstva; Branko Šomen;88
70;Osmi grijeh - posluh; Natalija Princi-Duhović;151
78;Prag; Vladimir Soukup;19
248;Hipnoza - meki uvez; Dražen Radaković;57
54;Umjetnost - kreativne aktivnosti - meki uvez; Ruth Thomson;103
192;Zvjezdane vatre dalekog svemira; Vladis Vujnović;96
65;Svijet Egipta; Stella Galdwll;30
15;Metamorfoze znanstvene fantastike; Darko Suvin;37
84;Moji najdraži recepti; Stevo Karapandža;18
59;Proza poslije FAK-a; Jagna Pogačnik;113
97;Nesalomljivi; Laura Hillenbrand;119
202;Kalendar maja  - tvrdi uvez; Zoran Ferić;69
23;Sunset park; Paul Auster;89
36;Dragulj Sankt Peterburga - meki uvez ; Kate Furnivall;108
106;Tajne vitezova templara; S.J.Hodge;114
60;Novi roditelji; Miriam Stoppard;33
194;Učitelj učitelja; Dragutin Rosandić;111
195;Riječi s nahtkasna i kantunala (preko noćnog ormarića); Nives Opačić;112
189;Borba za duševno zdravlje; Norman Sartorius;31
197;Metodika; Ante Bežen;65
123;Probudite genijalca u svojem djetetu; Ken Adams;88
32;Tkanje života; Mirjana Krizmanić;146
104;Muškarci koje sam voljela; Adele Parks;20
26;Frida ili o boli; Slavenka Drakulić;126
227;Peljar za tumače; Dean Slavić;94
16;Što je s mojom mačkom?; Bruce Fogle;136
213;Vodič za špijune; Judy Hindley;169
237;Moja mediteranska dijeta; dr.Lejla Kažinić-Kreho;18
198;Putovanje labirintom; Kjartan Poskitt;19
55;Geografski atlas Afrike; Denis Šehić;145
133;Kuća lutaka s naljepnicama; Ina Hattenhauer;15
240;Što žele single žene; Jean-Claude Kaufmann;35
91;Vladari iz sjene; Jim Marrs;16
180;100 jednostavnih tajni uspješnih ljudi - kiosk; David Niven;17
139;Kreativna kuhinja; Stevo Karapandža;112
155;Novi obiteljski liječnik; Tony Smith;17
98;Velečanstvena matematika; Jonathan i Thomas Flintham;134
161;Botticellijeva tajna; Marina Fiorato;90
239;Pričom do uspjeha; Peter Guber;119
253;Otkrivamo ljudsko tijelo; Sue Davidson;171
136;Klasika-poučavanje na temeljima klasičnog obrazovanja; Leigh A. Bortins;38
228;Nebo; Jean-Pierre Verdet;144
187;Odbrojavanje; Tena Štivičić;70
193;200 najboljih talijanskih jela - meki uvez; Marina Filippelli;171
122;Zmajevi - kreativne aktivnosti - meki uvez; Andrea Pinnington;142
130;Iskra: Kako sam u autističnom sinu pronašla genija; Kristine Barnett;18
19;Tjestenine; Carla Bardi;98
52;Muškarac i dječak - kiosk; Tony Parsons;76
148;Ja koja imam nevinije ruke; Vesna Parun;153
62;Knjiga sutrašnjice - kiosk (platinasta kolekcija); Cecelia Ahern;42
67;Tajne i čuda prirode; Elizabeth Dalby;69
235;Zašto djeca to rade?; Richard C. Woolfson;146
166;Vrtlarski dnevnik - tvrdi uvez; Kornelija Benyovsky Šoštarić;74
